log_id,source_node,target_node,edge_type,label
612,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
613,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
614,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
615,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
616,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-27,GetParameter,0
617,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
618,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
619,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
620,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-18,PutParameter,0
621,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-13,GetParameter,0
622,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-21,GetParameter,0
623,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-13,PutParameter,0
624,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-15,GetParameter,0
625,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
626,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
627,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-27,PutParameter,0
628,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-21,PutParameter,0
629,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
630,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-18,GetParameter,0
631,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
632,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
633,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
634,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
635,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
636,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
637,arn:aws:iam::123837392027:user/bert-jan,SYMMETRIC_DEFAULT,Decrypt,0
638,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
639,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-15,PutParameter,0
640,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
641,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-33,PutParameter,0
642,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-33,GetParameter,0
643,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-24,PutParameter,0
644,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
645,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
646,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
647,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
648,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
649,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
650,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
651,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
652,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
653,arn:aws:iam::123837392027:user/bert-jan,aws_service,DescribeParameters,0
654,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-32,PutParameter,0
655,arn:aws:iam::123837392027:user/bert-jan,/credentials/stratus-red-team/credentials-29,PutParameter,0
656,arn:aws:iam::123837392027:user/bert-jan,aws_service,PutParameter,0
657,arn:aws:iam::123837392027:user/bert-jan,alias/aws/ssm,Encrypt,0
658,arn:aws:iam::123837392027:user/bert-jan,Parameter,ListTagsForResource,0
